btype;pol;pkg;vceo;ic;hfe;ft_hz;pwr_w;comment
2N3500;NPN;TO39;150;0.3;40/120;150M;1;undef
2N3501;NPN;TO39;150;0.3;100/300;150M;1;undef
2N3501L;NPN;TO5;150;0.3;100/300;150M;1;undef
2N3506;NPN;TO39;40;3;40/120;60M;1;undef
2N3506L;NPN;TO5;40;3;40/120;60M;1;undef
2N3507;NPN;TO39;50;3;30/120;60M;1;undef
2N3507L;NPN;TO5;50;3;30/120;60M;1;undef
2N3507X;NPN;TO39;50;3;30/120;60M;1;undef
2N3508;NPN;TO46;20;0.5;40-160;500M;0.4;undef
2N3509;NPN;TO46;20;0.5;100-200;500M;0.4;undef
2N3511;NPN;TO52;40;0.5;15min;-;0.36;undef
2N3571;NPN;TO72;15;50m;20min;1.2G;0.2;undef
2N3583;NPN;TO66;175;1;40-200;10M;35;undef
2N3584;NPN;TO66;250;2;25-100;10M;35;undef
2N3584X;NPN;TO66;250;2;25-100;10M;35;undef
2N3585;NPN;TO66;300;2;25-100;10M;35;undef
2N3634;PNP;TO39;140;1;50-150;-;1;undef
2N3635;PNP;TO39;140;1;100/300;-;1;undef
2N3636;PNP;TO39;175;1;50/150;-;1;undef
2N3637;PNP;TO39;175;1;100/300;-;1;undef
2N3665;NPN;TO39;80;1;40/100;50M;5;undef
2N3680;NPN;TO77;50;30m;150-600;60M;0.6;undef
2N3700;NPN;TO18;80;1;-;100M;0.5;undef
2N3701;NPN;TO18;80;1;30min;80M;0.5;undef
2N3713;NPN;TO3;60;10;25-90;4M;150;undef
2N3714;NPN;TO3;80;10;25-90;4M;150;undef
2N3715;NPN;TO3;60;10;50-150;4M;150;undef
2N3716;NPN;TO3;80;10;50-150;4M;150;undef
2N3719;NPN;TO39;40;3;25-180;60M;6;undef
2N3720;NPN;TO39;60;3;25-180;60M;6;undef
2N3724;NPN;TO39;30;0.5;60-150;300M;0.8;undef
2N3724A;NPN;TO39;30;1.2;60-150;300M;0.8;undef
2N3725;NPN;TO39;50;0.5;60-150;300M;0.8;undef
2N3725A;NPN;TO39;50;1.2;60-150;300M;1;undef
2N3734;NPN;TO39;30;1.5;30-120;300M;1;undef
2N3735;NPN;TO39;50;1.5;20-80;250M;1;undef
2N3738;NPN;TO66;225;-;40-200;10M;20;undef
2N3739;NPN;TO66;300;-;40-200;10M;20;undef
2N3740AR;PNP;TO66;60;4;30-180;4M;25;undef
2N3741;PNP;TO66;80;4;30-100;4M;25;undef
2N3741R;PNP;TO66;80;4;30-180;4M;25;undef
2N3762;PNP;TO39;40;1.5;30-120;180M;1;undef
2N3763;PNP;TO39;60;1.5;20-80;150M;1;undef
2N3764;PNP;TO46;40;1.5;30-120;180M;0.5;undef
2N3765;PNP;TO46;60;1.5;20-80;150M;0.5;undef
2N3766;NPN;TO66;60;4;40-160;10M;20;undef
2N3767;NPN;TO66;80;4;40-160;10M;20;undef
2N3771;NPN;TO3;40;30;15-60;-;150;undef
2N3772;NPN;TO3;60;30;15-60;-;150;undef
2N3773;NPN;TO3;140;16;5-60;-;150;undef
2N3782;PNP;TO39;40;3;5-60;1M;5;undef
2N3789;PNP;TO3;60;10;25-90;4M;150;undef
2N3790;PNP;TO3;80;10;25-90;4M;150;undef
2N3791;PNP;TO3;60;10;50-150;4M;150;undef
2N3792;PNP;TO3;80;10;50-150;4M;150;undef
2N3799;PNP;TO18;60;-;250min;500M;0.36;undef
2N3799X;PNP;TO18;50;-;250min;500M;0.36;undef
2N3800;PNP;TO71;60;50mA;150;100M;0.25;Dual Transistor
2N3801;PNP;TO71;60;50mA;300;100M;0.25;Dual Transistor
2N3802;PNP;TO71;60;50mA;150;100M;0.25;Dual Transistor
2N3803;PNP;TO71;60;50mA;300;100M;0.25;Dual Transistor
2N3804;PNP;TO71;60;50mA;150;100M;0.25;Dual Transistor
2N3805;PNP;TO71;60;50mA;300;100M;0.25;Dual Transistor
2N3805A;PNP;TO71;60;50mA;300;100M;0.25;Dual Transistor
2N3806;PNP;TO77;60;50mA;150min;100M;0.5;undef
2N3807;PNP;TO77;60;50m;300min;100M;0.5;undef
2N3808;PNP;TO77;60;50m;150min;100M;0.5;undef
2N3809;PNP;TO77;60;50m;300min;100M;0.5;undef
2N3810;PNP;TO77;60;50m;150min;100M;0.5;undef
2N3811;PNP;TO77;60;50m;300min;100M;0.5;undef
2N3811A;PNP;TO77;60;50m;300min;100M;0.5;undef
2N3829;PNP;TO52;35;0.2;30min;350M;0.36;undef
2N3830;NPN;TO39;50;1.2;30min;200M;1;undef
2N3830L;NPN;TO5;50;1.2;30min;200M;1;undef
2N3831;NPN;TO39;40;1.2;35min;200M;1;undef
2N3867;PNP;TO39;40;1;25min;80M;1;undef
2N3868;PNP;TO39;60;1;20min;60M;1;undef
2N3879;NPN;TO66;75;7;12-100;40M;35;undef
2N3902;NPN;TO3;400;2.5;30-90;-;100;undef
2N3907;NPN;TO77;45;30m;120min;60M;0.3;undef
2N3917;NPN;TO3;40;2;30-120;50M;20;undef
2N3918;NPN;TO3;40;2;100-300;50M;20;undef
2N3931;PNP;TO39;180;0.1;100min;40M;0.7;undef
2N3945;NPN;TO39;50;1;40-150;60M;5;undef
2N3947;NPN;TO18;40;0.2;100min;300M;0.36;undef
2N3962;PNP;TO18;60;0.2;100-450;40M;0.36;undef
2N3963;PNP;TO18;80;0.2;100-450;40M;0.36;undef
2N3964;PNP;TO18;45;0.2;250-600;40M;0.36;undef
2N3965;PNP;TO18;45;0.2;250-600;40M;0.36;undef
2N3996;NPN;TO111;80;5;40-120;40M;30;undef
2N3997;NPN;TO111;80;5;80-240;40M;30;undef
2N3998;NPN;TO59;80;5;40-120;40M;30;undef
2N3999;NPN;TO59;80;5;80-240;40M;30;undef
2N4000;NPN;TO39;80;1;30-120;40M;1;undef
2N4001;NPN;TO39;100;1;40-120;40M;1;undef
2N4026;PNP;TO18;60;1;30min;100M;0.5;undef
2N4027;PNP;TO18;80;1;30min;100M;0.5;undef
2N4028;PNP;TO18;60;1;75min;150M;0.5;undef
2N4029;PNP;TO18;80;1;75min;150M;0.5;undef
2N4030;PNP;TO39;60;1;30min;100M;0.8;undef
2N4031;PNP;TO39;80;1;30min;100M;0.8;undef
2N4032;PNP;TO39;60;1;75min;150M;0.8;undef
2N4033;PNP;TO39;80;1;75min;150M;0.8;undef
2N4036;PNP;TO39;65;1;40-140;60M;1;undef
2N4037;PNP;TO39;40;1;50-250;60M;1;undef
2N4046;NPN;TO39;30;0.5;150min;250M;0.8;undef
2N4111;NPN;TO3;60;5;40-120;50M;30;undef
2N4112;NPN;TO3;60;5;100-200;60M;30;undef
2N4113;NPN;TO3;80;5;40-120;50M;30;undef
2N4114;NPN;TO3;80;5;100-200;60M;30;undef
2N4150;NPN;TO39;80;5;40-120;15M;5;undef
2N4231;NPN;TO66;40;5;25-100;4M;35;undef
2N4231A;NPN;TO66;40;5;25-100;4M;35;undef
2N4232;NPN;TO66;60;5;25-100;4M;35;undef
2N4232A;NPN;TO66;60;5;25-100;4M;35;undef
2N4233;NPN;TO66;80;5;25-100;4M;35;undef
2N4233A;NPN;TO66;80;5;25-100;4M;35;undef
2N4234;PNP;TO39;40;3;30-150;3M;6;undef
2N4235;PNP;TO39;60;3;30-150;3M;6;undef
2N4236;PNP;TO39;80;3;30-150;3M;6;undef
2N4237;PNP;TO39;40;1;30min;1M;0.8;undef
2N4238;NPN;TO39;60;1;30min;1M;0.8;undef
2N4239;PNP;TO39;80;1;30min;1M;0.8;undef
2N4240;NPN;TO66;300;5;10-100;15M;35;undef
2N4260;PNP;TO72;15;30m;25min;.6G;0.2;undef
2N4269;NPN;TO18;140;30m;200typ;-;0.36;undef
2N4269S;NPN;TO18;140;30m;200typ;-;0.36;undef
2N4272;NPN;TO39;140;2.5;20-140;0M;5;undef
2N4272A;NPN;TO39;140;2.5;20-140;0M;5;undef
2N4273;NPN;TO66;140;2.5;20-140;0M;25;undef
2N4300;NPN;TO39;80;2;30-120;30M;15;undef
2N4311;NPN;TO39;60;5;40-120;-;1.5;undef
2N4358;PNP;TO39;240;0.1;100min;40M;0.7;undef
2N4388;PNP;TO66;60;2;25-100;25M;20;undef
2N4395;NPN;TO3;40;5;50-170;4M;62;undef
2N4396;NPN;TO3;60;5;50-170;4M;62;undef
2N4399;PNP;TO3;60;30;15-60;4M;200;undef
2N4427;NPN;TO39;40;0.4;10-200;500M;2;undef
2N4863;NPN;TO39;120;2;50-150;50M;4;undef
2N4864;NPN;TO66;120;2;50-150;50M;16;undef
2N4895;NPN;TO39;60;5;40min;50M;0.8;undef
2N4896;NPN;TO39;60;5;1-0min;50M;0.8;undef
2N4897;NPN;TO39;80;5;40min;50M;0.8;undef
2N4898;PNP;TO66;40;4;20-100;3M;25;undef
2N4899;PNP;TO66;60;4;20-100;3M;25;undef
2N4900;PNP;TO66;80;4;20-100;3M;25;undef
2N4901;PNP;TO3;40;5;20-80;4M;87;undef
2N4902;PNP;TO3;60;5;20-80;4M;87;undef
2N4903;PNP;TO3;80;5;20-80;4M;87;undef
2N4904;PNP;TO3;40;5;25-100;4M;87;undef
2N4905;PNP;TO3;60;5;25-100;4M;87;undef
2N4906;PNP;TO3;80;5;25-100;4M;87;undef
2N4907;PNP;TO3;40;10;20-80;4M;150;undef
2N4908;PNP;TO3;60;10;20-80;4M;150;undef
2N4909;PNP;TO3;80;10;20-80;4M;150;undef
2N4910;NPN;TO66;40;4;20-100;3M;25;undef
2N4911;NPN;TO66;60;4;20-100;3M;25;undef
2N4912;NPN;TO66;80;4;20-100;3M;25;undef
2N4912X;NPN;TO66M;80;4;20-175;3M;25;undef
2N4913;NPN;TO3;40;5;25/100;4M;88;undef
2N4914;NPN;TO3;60;5;25-100;4M;88;undef
2N4915;NPN;TO3;80;5;25-100;4M;88;undef
2N4924;NPN;TO39;100;0.2;40-200;100M;1;undef
2N4925;NPN;TO39;150;0.2;40-200;100M;1;undef
2N4928;PNP;TO39;100;0.1;20min;100M;0.6;undef
2N4929;PNP;TO39;150;50m;25-250;100M;1;undef
2N4930;PNP;TO39;200;50m;25-200;20M;1;undef
2N4931;PNP;TO39;250;0.5;20min;20M;1;undef
2N4937;PNP;TO79;40;50m;50min;300M;0.5;undef
2N4939;PNP;TO79;40;50m;50min;300M;0.5;undef
2N4999;PNP;TO59;80;2;30-90;50M;30;undef
2N5000;NPN;TO59;80;2;70-200;60M;30;undef
2N5001;PNP;TO59;80;2;70-200;60M;30;undef
